Commodity,Date,Unit,Min Price,Max Price,Avg Price,Year,Month,DayOfWeek,Price Range
Neuro,2021-05-25,Kg,70,80,75.0,2021,5,Tuesday,10
Brocauli,2021-05-25,Kg,50,60,55.0,2021,5,Tuesday,10
Sugarbeet,2021-05-25,Kg,70,80,75.0,2021,5,Tuesday,10
Red Cabbbage,2021-05-25,Kg,100,120,110.0,2021,5,Tuesday,20
Lettuce,2021-05-25,Kg,30,40,35.0,2021,5,Tuesday,10
Knolkhol,2021-05-25,Kg,50,60,55.0,2021,5,Tuesday,10
Fennel Leaf,2021-05-25,Kg,30,40,35.0,2021,5,Tuesday,10
Mint,2021-05-25,Kg,100,120,110.0,2021,5,Tuesday,20
Turnip A,2021-05-25,Kg,70,80,75.0,2021,5,Tuesday,10
Tamarind,2021-05-25,Kg,150,160,155.0,2021,5,Tuesday,10
Bamboo Shoot,2021-05-25,Kg,90,100,95.0,2021,5,Tuesday,10
Tofu,2021-05-25,Kg,90,100,95.0,2021,5,Tuesday,10
Apple(Jholey),2021-05-25,Kg,180,200,190.0,2021,5,Tuesday,20
Apple(Fuji),2021-05-25,KG,280,300,290.0,2021,5,Tuesday,20
Banana,2021-05-25,Doz,90,100,95.0,2021,5,Tuesday,10
Lime,2021-05-25,Kg,120,140,130.0,2021,5,Tuesday,20
Pomegranate,2021-05-25,Kg,280,300,290.0,2021,5,Tuesday,20
Mango(Maldah),2021-05-25,Kg,140,150,145.0,2021,5,Tuesday,10
Mango(Dushari),2021-05-25,Kg,140,150,145.0,2021,5,Tuesday,10
Mango(Calcutte),2021-05-25,Kg,140,150,145.0,2021,5,Tuesday,10
Grapes(Green),2021-05-25,Kg,200,220,210.0,2021,5,Tuesday,20
Water Melon(Green),2021-05-25,Kg,30,40,35.0,2021,5,Tuesday,10
Sweet Orange,2021-05-25,Kg,200,220,210.0,2021,5,Tuesday,20
Pineapple,2021-05-25,1 Pc,140,150,145.0,2021,5,Tuesday,10
Cucumber(Local),2021-05-25,Kg,40,50,45.0,2021,5,Tuesday,10
Cucumber(Hybrid),2021-05-25,KG,20,30,25.0,2021,5,Tuesday,10
Jack Fruit,2021-05-25,Kg,40,50,45.0,2021,5,Tuesday,10
Papaya(Indian),2021-05-25,Kg,110,120,115.0,2021,5,Tuesday,10
Litchi(Indian),2021-05-25,Kg,180,200,190.0,2021,5,Tuesday,20
Ginger,2021-05-25,Kg,70,80,75.0,2021,5,Tuesday,10
Chilli Dry,2021-05-25,Kg,320,340,330.0,2021,5,Tuesday,20
Chilli Green,2021-05-25,Kg,60,70,65.0,2021,5,Tuesday,10
Chilli Green(Bullet),2021-05-25,KG,60,70,65.0,2021,5,Tuesday,10
Chilli Green(Machhe),2021-05-25,KG,40,50,45.0,2021,5,Tuesday,10
Chilli Green(Akbare),2021-05-25,KG,140,150,145.0,2021,5,Tuesday,10
Capsicum,2021-05-25,Kg,40,50,45.0,2021,5,Tuesday,10
Garlic Green,2021-05-25,Kg,50,60,55.0,2021,5,Tuesday,10
Coriander Green,2021-05-25,Kg,40,50,45.0,2021,5,Tuesday,10
Garlic Dry Chinese,2021-05-25,Kg,200,210,205.0,2021,5,Tuesday,10
Garlic Dry Nepali,2021-05-25,Kg,100,110,105.0,2021,5,Tuesday,10
Clive Dry,2021-05-25,Kg,100,110,105.0,2021,5,Tuesday,10
Fish Fresh(Rahu),2021-05-25,KG,270,280,275.0,2021,5,Tuesday,10
Fish Fresh(Bachuwa),2021-05-25,KG,225,235,230.0,2021,5,Tuesday,10
Fish Fresh(Chhadi),2021-05-25,KG,200,220,210.0,2021,5,Tuesday,20
Fish Fresh(Mungari),2021-05-25,KG,240,250,245.0,2021,5,Tuesday,10
Tomato Big(Nepali),2021-05-26,Kg,35,40,37.5,2021,5,Wednesday,5
Tomato Big(Indian),2021-05-26,Kg,35,40,37.5,2021,5,Wednesday,5
Tomato Small(Local),2021-05-26,Kg,20,30,25.0,2021,5,Wednesday,10
Tomato Small(Tunnel),2021-05-26,Kg,35,40,37.5,2021,5,Wednesday,5
Tomato Small(Indian),2021-05-26,KG,25,30,27.5,2021,5,Wednesday,5
Potato Red,2021-05-26,Kg,35,40,37.5,2021,5,Wednesday,5
Potato Red(Indian),2021-05-26,KG,25,30,27.5,2021,5,Wednesday,5
Potato White,2021-05-26,Kg,25,30,27.5,2021,5,Wednesday,5
Onion Dry (Indian),2021-05-26,Kg,40,42,41.0,2021,5,Wednesday,2
Carrot(Local),2021-05-26,Kg,55,60,57.5,2021,5,Wednesday,5
Cabbage(Local),2021-05-26,Kg,20,30,25.0,2021,5,Wednesday,10
Cauli Local,2021-05-26,Kg,30,40,35.0,2021,5,Wednesday,10
Cauli Local(Jyapu),2021-05-26,Kg,40,50,45.0,2021,5,Wednesday,10
Brinjal Long,2021-05-26,Kg,25,30,27.5,2021,5,Wednesday,5
Brinjal Round,2021-05-26,Kg,35,40,37.5,2021,5,Wednesday,5
Cow pea(Long),2021-05-26,Kg,30,40,35.0,2021,5,Wednesday,10
Green Peas,2021-05-26,Kg,140,150,145.0,2021,5,Wednesday,10
French Bean(Local),2021-05-26,Kg,40,50,45.0,2021,5,Wednesday,10
French Bean(Hybrid),2021-05-26,Kg,40,50,45.0,2021,5,Wednesday,10
French Bean(Rajma),2021-05-26,Kg,40,50,45.0,2021,5,Wednesday,10
Soyabean Green,2021-05-26,Kg,90,100,95.0,2021,5,Wednesday,10
Bitter Gourd,2021-05-26,Kg,30,35,32.5,2021,5,Wednesday,5
Bottle Gourd,2021-05-26,Kg,25,30,27.5,2021,5,Wednesday,5
Pointed Gourd(Local),2021-05-26,Kg,50,60,55.0,2021,5,Wednesday,10
Pointed Gourd(Terai),2021-05-26,Kg,50,60,55.0,2021,5,Wednesday,10
Snake Gourd,2021-05-26,Kg,20,30,25.0,2021,5,Wednesday,10
Smooth Gourd,2021-05-26,Kg,30,35,32.5,2021,5,Wednesday,5
Pumpkin,2021-05-26,Kg,30,35,32.5,2021,5,Wednesday,5
Squash(Round),2021-05-26,Kg,30,35,32.5,2021,5,Wednesday,5
Okara,2021-05-26,Kg,20,30,25.0,2021,5,Wednesday,10
Sweet Potato,2021-05-26,Kg,50,60,55.0,2021,5,Wednesday,10
Arum,2021-05-26,Kg,50,60,55.0,2021,5,Wednesday,10
Brd Leaf Mustard,2021-05-26,Kg,30,35,32.5,2021,5,Wednesday,5
Spinach Leaf,2021-05-26,Kg,30,40,35.0,2021,5,Wednesday,10
Cress Leaf,2021-05-26,Kg,30,40,35.0,2021,5,Wednesday,10
Mustard Leaf,2021-05-26,Kg,20,30,25.0,2021,5,Wednesday,10
Fenugreek Leaf,2021-05-26,Kg,30,40,35.0,2021,5,Wednesday,10
Onion Green,2021-05-26,Kg,50,60,55.0,2021,5,Wednesday,10
Mushroom(Kanya),2021-05-26,Kg,120,150,135.0,2021,5,Wednesday,30
Mushroom(Button),2021-05-26,KG,250,280,265.0,2021,5,Wednesday,30
Neuro,2021-05-26,Kg,70,80,75.0,2021,5,Wednesday,10
Brocauli,2021-05-26,Kg,50,60,55.0,2021,5,Wednesday,10
Sugarbeet,2021-05-26,Kg,70,80,75.0,2021,5,Wednesday,10
Red Cabbbage,2021-05-26,Kg,100,120,110.0,2021,5,Wednesday,20
Lettuce,2021-05-26,Kg,30,40,35.0,2021,5,Wednesday,10
Knolkhol,2021-05-26,Kg,50,60,55.0,2021,5,Wednesday,10
Fennel Leaf,2021-05-26,Kg,30,40,35.0,2021,5,Wednesday,10
Mint,2021-05-26,Kg,80,90,85.0,2021,5,Wednesday,10
Turnip A,2021-05-26,Kg,70,80,75.0,2021,5,Wednesday,10
Tamarind,2021-05-26,Kg,150,160,155.0,2021,5,Wednesday,10
Bamboo Shoot,2021-05-26,Kg,90,100,95.0,2021,5,Wednesday,10
Tofu,2021-05-26,Kg,90,100,95.0,2021,5,Wednesday,10
Apple(Jholey),2021-05-26,Kg,180,200,190.0,2021,5,Wednesday,20
Apple(Fuji),2021-05-26,KG,280,300,290.0,2021,5,Wednesday,20
Banana,2021-05-26,Doz,90,100,95.0,2021,5,Wednesday,10
Lime,2021-05-26,Kg,120,140,130.0,2021,5,Wednesday,20
Pomegranate,2021-05-26,Kg,280,300,290.0,2021,5,Wednesday,20
Mango(Maldah),2021-05-26,Kg,140,150,145.0,2021,5,Wednesday,10
Mango(Dushari),2021-05-26,Kg,140,150,145.0,2021,5,Wednesday,10
Mango(Calcutte),2021-05-26,Kg,140,150,145.0,2021,5,Wednesday,10
Grapes(Green),2021-05-26,Kg,200,220,210.0,2021,5,Wednesday,20
Water Melon(Green),2021-05-26,Kg,30,35,32.5,2021,5,Wednesday,5
Sweet Orange,2021-05-26,Kg,200,220,210.0,2021,5,Wednesday,20
Pineapple,2021-05-26,1 Pc,140,150,145.0,2021,5,Wednesday,10
Cucumber(Local),2021-05-26,Kg,60,70,65.0,2021,5,Wednesday,10
Cucumber(Hybrid),2021-05-26,KG,25,30,27.5,2021,5,Wednesday,5
Jack Fruit,2021-05-26,Kg,35,40,37.5,2021,5,Wednesday,5
Papaya(Indian),2021-05-26,Kg,100,110,105.0,2021,5,Wednesday,10
Litchi(Indian),2021-05-26,Kg,180,200,190.0,2021,5,Wednesday,20
Ginger,2021-05-26,Kg,70,80,75.0,2021,5,Wednesday,10
Chilli Dry,2021-05-26,Kg,320,340,330.0,2021,5,Wednesday,20
Chilli Green,2021-05-26,Kg,60,70,65.0,2021,5,Wednesday,10
Chilli Green(Bullet),2021-05-26,KG,60,70,65.0,2021,5,Wednesday,10
Chilli Green(Machhe),2021-05-26,KG,40,50,45.0,2021,5,Wednesday,10
Chilli Green(Akbare),2021-05-26,KG,140,150,145.0,2021,5,Wednesday,10
Capsicum,2021-05-26,Kg,40,50,45.0,2021,5,Wednesday,10
Garlic Green,2021-05-26,Kg,50,60,55.0,2021,5,Wednesday,10
Coriander Green,2021-05-26,Kg,80,90,85.0,2021,5,Wednesday,10
Garlic Dry Chinese,2021-05-26,Kg,200,210,205.0,2021,5,Wednesday,10
Garlic Dry Nepali,2021-05-26,Kg,100,110,105.0,2021,5,Wednesday,10
Fish Fresh(Rahu),2021-05-26,KG,270,280,275.0,2021,5,Wednesday,10
Fish Fresh(Bachuwa),2021-05-26,KG,225,235,230.0,2021,5,Wednesday,10
Fish Fresh(Chhadi),2021-05-26,KG,210,220,215.0,2021,5,Wednesday,10
Fish Fresh(Mungari),2021-05-26,KG,240,250,245.0,2021,5,Wednesday,10
Tomato Big(Nepali),2021-05-27,Kg,40,50,45.0,2021,5,Thursday,10
Tomato Big(Indian),2021-05-27,Kg,40,50,45.0,2021,5,Thursday,10
Tomato Small(Local),2021-05-27,Kg,45,50,47.5,2021,5,Thursday,5
Tomato Small(Tunnel),2021-05-27,Kg,50,55,52.5,2021,5,Thursday,5
Tomato Small(Indian),2021-05-27,KG,40,45,42.5,2021,5,Thursday,5
Potato Red,2021-05-27,Kg,45,48,46.5,2021,5,Thursday,3
Potato Red(Indian),2021-05-27,KG,40,45,42.5,2021,5,Thursday,5
Potato White,2021-05-27,Kg,40,45,42.5,2021,5,Thursday,5
Onion Dry (Indian),2021-05-27,Kg,40,43,41.5,2021,5,Thursday,3
Carrot(Local),2021-05-27,Kg,55,60,57.5,2021,5,Thursday,5
Cabbage(Local),2021-05-27,Kg,20,25,22.5,2021,5,Thursday,5
Cauli Local,2021-05-27,Kg,30,40,35.0,2021,5,Thursday,10
Brinjal Long,2021-05-27,Kg,25,30,27.5,2021,5,Thursday,5
Brinjal Round,2021-05-27,Kg,35,40,37.5,2021,5,Thursday,5
Cow pea(Long),2021-05-27,Kg,30,35,32.5,2021,5,Thursday,5
Green Peas,2021-05-27,Kg,140,150,145.0,2021,5,Thursday,10
French Bean(Local),2021-05-27,Kg,40,50,45.0,2021,5,Thursday,10
French Bean(Hybrid),2021-05-27,Kg,40,50,45.0,2021,5,Thursday,10
Soyabean Green,2021-05-27,Kg,90,100,95.0,2021,5,Thursday,10
Bitter Gourd,2021-05-27,Kg,35,45,40.0,2021,5,Thursday,10
Bottle Gourd,2021-05-27,Kg,30,35,32.5,2021,5,Thursday,5
Pointed Gourd(Local),2021-05-27,Kg,55,60,57.5,2021,5,Thursday,5
Pointed Gourd(Terai),2021-05-27,Kg,55,60,57.5,2021,5,Thursday,5
Snake Gourd,2021-05-27,Kg,30,35,32.5,2021,5,Thursday,5
Smooth Gourd,2021-05-27,Kg,35,45,40.0,2021,5,Thursday,10
Pumpkin,2021-05-27,Kg,30,35,32.5,2021,5,Thursday,5
Squash(Round),2021-05-27,Kg,35,40,37.5,2021,5,Thursday,5
Okara,2021-05-27,Kg,40,45,42.5,2021,5,Thursday,5
Sweet Potato,2021-05-27,Kg,50,60,55.0,2021,5,Thursday,10
Arum,2021-05-27,Kg,50,60,55.0,2021,5,Thursday,10
Brd Leaf Mustard,2021-05-27,Kg,25,30,27.5,2021,5,Thursday,5
Spinach Leaf,2021-05-27,Kg,30,35,32.5,2021,5,Thursday,5
Cress Leaf,2021-05-27,Kg,30,35,32.5,2021,5,Thursday,5
Mustard Leaf,2021-05-27,Kg,25,30,27.5,2021,5,Thursday,5
Fenugreek Leaf,2021-05-27,Kg,30,35,32.5,2021,5,Thursday,5
Onion Green,2021-05-27,Kg,50,60,55.0,2021,5,Thursday,10
Mushroom(Kanya),2021-05-27,Kg,130,150,140.0,2021,5,Thursday,20
Mushroom(Button),2021-05-27,KG,280,300,290.0,2021,5,Thursday,20
Neuro,2021-05-27,Kg,70,80,75.0,2021,5,Thursday,10
Brocauli,2021-05-27,Kg,50,60,55.0,2021,5,Thursday,10
Sugarbeet,2021-05-27,Kg,70,80,75.0,2021,5,Thursday,10
Red Cabbbage,2021-05-27,Kg,90,100,95.0,2021,5,Thursday,10
Lettuce,2021-05-27,Kg,30,35,32.5,2021,5,Thursday,5
Knolkhol,2021-05-27,Kg,50,60,55.0,2021,5,Thursday,10
Fennel Leaf,2021-05-27,Kg,30,35,32.5,2021,5,Thursday,5
Mint,2021-05-27,Kg,80,90,85.0,2021,5,Thursday,10
Turnip A,2021-05-27,Kg,60,70,65.0,2021,5,Thursday,10
Tamarind,2021-05-27,Kg,150,160,155.0,2021,5,Thursday,10
Bamboo Shoot,2021-05-27,Kg,90,100,95.0,2021,5,Thursday,10
Tofu,2021-05-27,Kg,90,100,95.0,2021,5,Thursday,10
Apple(Jholey),2021-05-27,Kg,180,200,190.0,2021,5,Thursday,20
Apple(Fuji),2021-05-27,KG,280,300,290.0,2021,5,Thursday,20
Banana,2021-05-27,Doz,90,100,95.0,2021,5,Thursday,10
Lime,2021-05-27,Kg,120,140,130.0,2021,5,Thursday,20
Pomegranate,2021-05-27,Kg,280,300,290.0,2021,5,Thursday,20
Mango(Maldah),2021-05-27,Kg,140,150,145.0,2021,5,Thursday,10
Mango(Dushari),2021-05-27,Kg,140,150,145.0,2021,5,Thursday,10
Mango(Calcutte),2021-05-27,Kg,140,150,145.0,2021,5,Thursday,10
Grapes(Green),2021-05-27,Kg,200,220,210.0,2021,5,Thursday,20
Water Melon(Green),2021-05-27,Kg,30,35,32.5,2021,5,Thursday,5
Sweet Orange,2021-05-27,Kg,200,220,210.0,2021,5,Thursday,20
Pineapple,2021-05-27,1 Pc,140,150,145.0,2021,5,Thursday,10
Cucumber(Local),2021-05-27,Kg,60,70,65.0,2021,5,Thursday,10
Cucumber(Hybrid),2021-05-27,KG,25,30,27.5,2021,5,Thursday,5
Jack Fruit,2021-05-27,Kg,35,40,37.5,2021,5,Thursday,5
Papaya(Indian),2021-05-27,Kg,90,100,95.0,2021,5,Thursday,10
Litchi(Indian),2021-05-27,Kg,190,200,195.0,2021,5,Thursday,10
Ginger,2021-05-27,Kg,70,80,75.0,2021,5,Thursday,10
Chilli Dry,2021-05-27,Kg,320,340,330.0,2021,5,Thursday,20
Chilli Green,2021-05-27,Kg,50,60,55.0,2021,5,Thursday,10
Chilli Green(Bullet),2021-05-27,KG,50,60,55.0,2021,5,Thursday,10
Chilli Green(Machhe),2021-05-27,KG,40,50,45.0,2021,5,Thursday,10
Chilli Green(Akbare),2021-05-27,KG,140,150,145.0,2021,5,Thursday,10
Capsicum,2021-05-27,Kg,40,50,45.0,2021,5,Thursday,10
Garlic Green,2021-05-27,Kg,50,60,55.0,2021,5,Thursday,10
Coriander Green,2021-05-27,Kg,120,150,135.0,2021,5,Thursday,30
Garlic Dry Chinese,2021-05-27,Kg,200,210,205.0,2021,5,Thursday,10
Garlic Dry Nepali,2021-05-27,Kg,100,110,105.0,2021,5,Thursday,10
Fish Fresh(Rahu),2021-05-27,KG,270,280,275.0,2021,5,Thursday,10
Fish Fresh(Bachuwa),2021-05-27,KG,225,235,230.0,2021,5,Thursday,10
Fish Fresh(Chhadi),2021-05-27,KG,210,220,215.0,2021,5,Thursday,10
Fish Fresh(Mungari),2021-05-27,KG,240,250,245.0,2021,5,Thursday,10
Tomato Big(Nepali),2021-05-28,Kg,35,40,37.5,2021,5,Friday,5
Tomato Big(Indian),2021-05-28,Kg,35,40,37.5,2021,5,Friday,5
Tomato Small(Local),2021-05-28,Kg,30,35,32.5,2021,5,Friday,5
Tomato Small(Tunnel),2021-05-28,Kg,40,50,45.0,2021,5,Friday,10
Tomato Small(Indian),2021-05-28,KG,30,35,32.5,2021,5,Friday,5
Potato Red,2021-05-28,Kg,50,55,52.5,2021,5,Friday,5
Potato Red(Indian),2021-05-28,KG,40,45,42.5,2021,5,Friday,5
Potato White,2021-05-28,Kg,40,45,42.5,2021,5,Friday,5
Onion Dry (Indian),2021-05-28,Kg,45,50,47.5,2021,5,Friday,5
Carrot(Local),2021-05-28,Kg,55,60,57.5,2021,5,Friday,5
Cabbage(Local),2021-05-28,Kg,20,25,22.5,2021,5,Friday,5
Cauli Local,2021-05-28,Kg,30,40,35.0,2021,5,Friday,10
Raddish White(Local),2021-05-28,Kg,15,20,17.5,2021,5,Friday,5
Raddish White(Hybrid),2021-05-28,Kg,15,20,17.5,2021,5,Friday,5
Brinjal Long,2021-05-28,Kg,25,30,27.5,2021,5,Friday,5
Brinjal Round,2021-05-28,Kg,35,40,37.5,2021,5,Friday,5
Cow pea(Long),2021-05-28,Kg,40,50,45.0,2021,5,Friday,10
Green Peas,2021-05-28,Kg,140,150,145.0,2021,5,Friday,10
French Bean(Local),2021-05-28,Kg,40,50,45.0,2021,5,Friday,10
French Bean(Hybrid),2021-05-28,Kg,40,50,45.0,2021,5,Friday,10
French Bean(Rajma),2021-05-28,Kg,40,45,42.5,2021,5,Friday,5
Soyabean Green,2021-05-28,Kg,120,140,130.0,2021,5,Friday,20
Bitter Gourd,2021-05-28,Kg,40,45,42.5,2021,5,Friday,5
Bottle Gourd,2021-05-28,Kg,30,35,32.5,2021,5,Friday,5
Pointed Gourd(Local),2021-05-28,Kg,50,60,55.0,2021,5,Friday,10
Pointed Gourd(Terai),2021-05-28,Kg,50,60,55.0,2021,5,Friday,10
Snake Gourd,2021-05-28,Kg,30,40,35.0,2021,5,Friday,10
Smooth Gourd,2021-05-28,Kg,35,45,40.0,2021,5,Friday,10
Pumpkin,2021-05-28,Kg,30,35,32.5,2021,5,Friday,5
Squash(Round),2021-05-28,Kg,35,40,37.5,2021,5,Friday,5
Okara,2021-05-28,Kg,40,45,42.5,2021,5,Friday,5
Sweet Potato,2021-05-28,Kg,50,60,55.0,2021,5,Friday,10
Arum,2021-05-28,Kg,50,60,55.0,2021,5,Friday,10
Brd Leaf Mustard,2021-05-28,Kg,25,30,27.5,2021,5,Friday,5
Spinach Leaf,2021-05-28,Kg,30,35,32.5,2021,5,Friday,5
Cress Leaf,2021-05-28,Kg,30,35,32.5,2021,5,Friday,5
Mustard Leaf,2021-05-28,Kg,20,30,25.0,2021,5,Friday,10
Fenugreek Leaf,2021-05-28,Kg,30,35,32.5,2021,5,Friday,5
Onion Green,2021-05-28,Kg,50,60,55.0,2021,5,Friday,10
Mushroom(Kanya),2021-05-28,Kg,150,170,160.0,2021,5,Friday,20
Mushroom(Button),2021-05-28,KG,280,300,290.0,2021,5,Friday,20
Neuro,2021-05-28,Kg,70,80,75.0,2021,5,Friday,10
Brocauli,2021-05-28,Kg,50,60,55.0,2021,5,Friday,10
Sugarbeet,2021-05-28,Kg,70,80,75.0,2021,5,Friday,10
Red Cabbbage,2021-05-28,Kg,90,100,95.0,2021,5,Friday,10
Lettuce,2021-05-28,Kg,30,35,32.5,2021,5,Friday,5
Knolkhol,2021-05-28,Kg,60,70,65.0,2021,5,Friday,10
Fennel Leaf,2021-05-28,Kg,30,35,32.5,2021,5,Friday,5
Mint,2021-05-28,Kg,80,90,85.0,2021,5,Friday,10
Turnip A,2021-05-28,Kg,70,80,75.0,2021,5,Friday,10
Tamarind,2021-05-28,Kg,150,160,155.0,2021,5,Friday,10
Bamboo Shoot,2021-05-28,Kg,90,100,95.0,2021,5,Friday,10
Tofu,2021-05-28,Kg,90,100,95.0,2021,5,Friday,10
Apple(Jholey),2021-05-28,Kg,180,200,190.0,2021,5,Friday,20
Apple(Fuji),2021-05-28,KG,280,300,290.0,2021,5,Friday,20
Banana,2021-05-28,Doz,90,100,95.0,2021,5,Friday,10
Lime,2021-05-28,Kg,130,150,140.0,2021,5,Friday,20
Pomegranate,2021-05-28,Kg,280,300,290.0,2021,5,Friday,20
Mango(Maldah),2021-05-28,Kg,130,140,135.0,2021,5,Friday,10
Mango(Dushari),2021-05-28,Kg,130,140,135.0,2021,5,Friday,10
Mango(Calcutte),2021-05-28,Kg,130,140,135.0,2021,5,Friday,10
Grapes(Green),2021-05-28,Kg,250,260,255.0,2021,5,Friday,10
Water Melon(Green),2021-05-28,Kg,25,30,27.5,2021,5,Friday,5
Sweet Orange,2021-05-28,Kg,200,220,210.0,2021,5,Friday,20
Pineapple,2021-05-28,1 Pc,140,150,145.0,2021,5,Friday,10
Cucumber(Local),2021-05-28,Kg,50,60,55.0,2021,5,Friday,10
Cucumber(Hybrid),2021-05-28,KG,25,30,27.5,2021,5,Friday,5
Jack Fruit,2021-05-28,Kg,35,45,40.0,2021,5,Friday,10
Papaya(Indian),2021-05-28,Kg,90,100,95.0,2021,5,Friday,10
Litchi(Indian),2021-05-28,Kg,180,200,190.0,2021,5,Friday,20
Ginger,2021-05-28,Kg,70,80,75.0,2021,5,Friday,10
Chilli Dry,2021-05-28,Kg,320,340,330.0,2021,5,Friday,20
Chilli Green,2021-05-28,Kg,50,60,55.0,2021,5,Friday,10
Chilli Green(Bullet),2021-05-28,KG,50,60,55.0,2021,5,Friday,10
Chilli Green(Machhe),2021-05-28,KG,40,45,42.5,2021,5,Friday,5
Chilli Green(Akbare),2021-05-28,KG,140,150,145.0,2021,5,Friday,10
Capsicum,2021-05-28,Kg,40,50,45.0,2021,5,Friday,10
Garlic Green,2021-05-28,Kg,60,70,65.0,2021,5,Friday,10
Coriander Green,2021-05-28,Kg,180,190,185.0,2021,5,Friday,10
Garlic Dry Chinese,2021-05-28,Kg,200,210,205.0,2021,5,Friday,10
Garlic Dry Nepali,2021-05-28,Kg,100,110,105.0,2021,5,Friday,10
Fish Fresh(Rahu),2021-05-28,KG,270,280,275.0,2021,5,Friday,10
Fish Fresh(Bachuwa),2021-05-28,KG,225,235,230.0,2021,5,Friday,10
Fish Fresh(Chhadi),2021-05-28,KG,210,220,215.0,2021,5,Friday,10
Fish Fresh(Mungari),2021-05-28,KG,240,250,245.0,2021,5,Friday,10
Tomato Big(Nepali),2021-05-29,Kg,35,40,37.5,2021,5,Saturday,5
Tomato Big(Indian),2021-05-29,Kg,35,40,37.5,2021,5,Saturday,5
Tomato Small(Local),2021-05-29,Kg,30,35,32.5,2021,5,Saturday,5
Tomato Small(Tunnel),2021-05-29,Kg,40,50,45.0,2021,5,Saturday,10
Tomato Small(Indian),2021-05-29,KG,30,35,32.5,2021,5,Saturday,5
Potato Red,2021-05-29,Kg,50,55,52.5,2021,5,Saturday,5
Potato Red(Indian),2021-05-29,KG,33,35,34.0,2021,5,Saturday,2
Potato White,2021-05-29,Kg,45,48,46.5,2021,5,Saturday,3
Carrot(Local),2021-05-29,Kg,55,60,57.5,2021,5,Saturday,5
Cabbage(Local),2021-05-29,Kg,20,25,22.5,2021,5,Saturday,5
Cauli Local,2021-05-29,Kg,30,40,35.0,2021,5,Saturday,10
Raddish White(Local),2021-05-29,Kg,15,20,17.5,2021,5,Saturday,5
Raddish White(Hybrid),2021-05-29,Kg,15,20,17.5,2021,5,Saturday,5
Brinjal Long,2021-05-29,Kg,35,40,37.5,2021,5,Saturday,5
Brinjal Round,2021-05-29,Kg,40,45,42.5,2021,5,Saturday,5
Cow pea(Long),2021-05-29,Kg,40,50,45.0,2021,5,Saturday,10
Cowpea(Short),2021-05-29,Kg,70,80,75.0,2021,5,Saturday,10
Green Peas,2021-05-29,Kg,140,150,145.0,2021,5,Saturday,10
French Bean(Local),2021-05-29,Kg,50,60,55.0,2021,5,Saturday,10
French Bean(Hybrid),2021-05-29,Kg,50,60,55.0,2021,5,Saturday,10
French Bean(Rajma),2021-05-29,Kg,50,60,55.0,2021,5,Saturday,10
Soyabean Green,2021-05-29,Kg,120,140,130.0,2021,5,Saturday,20
Bitter Gourd,2021-05-29,Kg,40,50,45.0,2021,5,Saturday,10
Bottle Gourd,2021-05-29,Kg,35,40,37.5,2021,5,Saturday,5
Pointed Gourd(Local),2021-05-29,Kg,50,60,55.0,2021,5,Saturday,10
Pointed Gourd(Terai),2021-05-29,Kg,50,60,55.0,2021,5,Saturday,10
Snake Gourd,2021-05-29,Kg,35,40,37.5,2021,5,Saturday,5
Smooth Gourd,2021-05-29,Kg,40,50,45.0,2021,5,Saturday,10
Pumpkin,2021-05-29,Kg,30,35,32.5,2021,5,Saturday,5
Squash(Round),2021-05-29,Kg,35,40,37.5,2021,5,Saturday,5
Okara,2021-05-29,Kg,40,50,45.0,2021,5,Saturday,10
Sweet Potato,2021-05-29,Kg,60,70,65.0,2021,5,Saturday,10
Arum,2021-05-29,Kg,50,60,55.0,2021,5,Saturday,10
Brd Leaf Mustard,2021-05-29,Kg,30,35,32.5,2021,5,Saturday,5
Spinach Leaf,2021-05-29,Kg,30,35,32.5,2021,5,Saturday,5
Cress Leaf,2021-05-29,Kg,30,35,32.5,2021,5,Saturday,5
Mustard Leaf,2021-05-29,Kg,20,30,25.0,2021,5,Saturday,10
Fenugreek Leaf,2021-05-29,Kg,30,35,32.5,2021,5,Saturday,5
Onion Green,2021-05-29,Kg,50,60,55.0,2021,5,Saturday,10
Mushroom(Kanya),2021-05-29,Kg,140,160,150.0,2021,5,Saturday,20
Mushroom(Button),2021-05-29,KG,300,340,320.0,2021,5,Saturday,40
Neuro,2021-05-29,Kg,70,80,75.0,2021,5,Saturday,10
Brocauli,2021-05-29,Kg,45,50,47.5,2021,5,Saturday,5
Sugarbeet,2021-05-29,Kg,70,80,75.0,2021,5,Saturday,10
Red Cabbbage,2021-05-29,Kg,90,100,95.0,2021,5,Saturday,10
Lettuce,2021-05-29,Kg,30,35,32.5,2021,5,Saturday,5
Knolkhol,2021-05-29,Kg,50,60,55.0,2021,5,Saturday,10
Fennel Leaf,2021-05-29,Kg,30,35,32.5,2021,5,Saturday,5
Mint,2021-05-29,Kg,80,90,85.0,2021,5,Saturday,10
Turnip A,2021-05-29,Kg,60,70,65.0,2021,5,Saturday,10
Tamarind,2021-05-29,Kg,140,150,145.0,2021,5,Saturday,10
Bamboo Shoot,2021-05-29,Kg,90,100,95.0,2021,5,Saturday,10
Tofu,2021-05-29,Kg,90,100,95.0,2021,5,Saturday,10
Apple(Jholey),2021-05-29,Kg,180,200,190.0,2021,5,Saturday,20
Apple(Fuji),2021-05-29,KG,280,300,290.0,2021,5,Saturday,20
Banana,2021-05-29,Doz,100,110,105.0,2021,5,Saturday,10
