Commodity,Date,Unit,Min Price,Max Price,Avg Price,Year,Month,DayOfWeek,Price Range
Bamboo Shoot,2021-01-10,Kg,80,90,85.0,2021,1,Sunday,10
Tofu,2021-01-10,Kg,70,80,75.0,2021,1,Sunday,10
Gundruk,2021-01-10,Kg,220,250,235.0,2021,1,Sunday,30
Apple(Jholey),2021-01-10,Kg,200,200,200.0,2021,1,Sunday,0
Apple(Fuji),2021-01-10,KG,280,300,290.0,2021,1,Sunday,20
Banana,2021-01-10,Doz,90,100,95.0,2021,1,Sunday,10
Lime,2021-01-10,Kg,120,130,125.0,2021,1,Sunday,10
Pomegranate,2021-01-10,Kg,250,300,275.0,2021,1,Sunday,50
Grapes(Green),2021-01-10,Kg,200,220,210.0,2021,1,Sunday,20
Grapes(Black),2021-01-10,Kg,350,360,355.0,2021,1,Sunday,10
Orange(Nepali),2021-01-10,Kg,100,110,105.0,2021,1,Sunday,10
Water Melon(Green),2021-01-10,Kg,40,50,45.0,2021,1,Sunday,10
Sweet Orange,2021-01-10,Kg,150,160,155.0,2021,1,Sunday,10
Pineapple,2021-01-10,1 Pc,120,130,125.0,2021,1,Sunday,10
Cucumber(Local),2021-01-10,Kg,70,80,75.0,2021,1,Sunday,10
Cucumber(Hybrid),2021-01-10,KG,30,40,35.0,2021,1,Sunday,10
Jack Fruit,2021-01-10,Kg,100,110,105.0,2021,1,Sunday,10
Lemon,2021-01-10,Kg,50,60,55.0,2021,1,Sunday,10
Pear(Chinese),2021-01-10,Kg,250,260,255.0,2021,1,Sunday,10
Papaya(Indian),2021-01-10,Kg,90,100,95.0,2021,1,Sunday,10
Guava,2021-01-10,Kg,100,110,105.0,2021,1,Sunday,10
Mombin,2021-01-10,Kg,30,40,35.0,2021,1,Sunday,10
Kinnow,2021-01-10,Kg,70,80,75.0,2021,1,Sunday,10
Kiwi,2021-01-10,Kg,220,250,235.0,2021,1,Sunday,30
Ginger,2021-01-10,Kg,50,60,55.0,2021,1,Sunday,10
Chilli Dry,2021-01-10,Kg,320,330,325.0,2021,1,Sunday,10
Chilli Green,2021-01-10,Kg,70,80,75.0,2021,1,Sunday,10
Chilli Green(Bullet),2021-01-10,KG,60,70,65.0,2021,1,Sunday,10
Chilli Green(Machhe),2021-01-10,KG,90,100,95.0,2021,1,Sunday,10
Capsicum,2021-01-10,Kg,50,60,55.0,2021,1,Sunday,10
Garlic Green,2021-01-10,Kg,90,100,95.0,2021,1,Sunday,10
Coriander Green,2021-01-10,Kg,80,100,90.0,2021,1,Sunday,20
Garlic Dry Chinese,2021-01-10,Kg,190,200,195.0,2021,1,Sunday,10
Fish Fresh(Rahu),2021-01-10,KG,270,280,275.0,2021,1,Sunday,10
Fish Fresh(Bachuwa),2021-01-10,KG,200,210,205.0,2021,1,Sunday,10
Fish Fresh(Chhadi),2021-01-10,KG,200,210,205.0,2021,1,Sunday,10
Fish Fresh(Mungari),2021-01-10,KG,260,270,265.0,2021,1,Sunday,10
Tomato Big(Nepali),2021-01-11,Kg,50,60,55.0,2021,1,Monday,10
Tomato Big(Indian),2021-01-11,Kg,50,60,55.0,2021,1,Monday,10
Tomato Small(Tunnel),2021-01-11,Kg,20,25,22.5,2021,1,Monday,5
Tomato Small(Indian),2021-01-11,KG,20,25,22.5,2021,1,Monday,5
Tomato Small(Terai),2021-01-11,KG,20,25,22.5,2021,1,Monday,5
Potato Red,2021-01-11,Kg,35,38,36.5,2021,1,Monday,3
Potato Red(Indian),2021-01-11,KG,30,32,31.0,2021,1,Monday,2
Potato White,2021-01-11,Kg,30,32,31.0,2021,1,Monday,2
Onion Dry (Indian),2021-01-11,Kg,70,75,72.5,2021,1,Monday,5
Carrot(Local),2021-01-11,Kg,50,60,55.0,2021,1,Monday,10
Carrot(Terai),2021-01-11,Kg,35,40,37.5,2021,1,Monday,5
